Postcode,lat,Lon
1012NH,52.37543600,4.89426968
1012NJ,52.37491937,4.89393813
1012NK,52.37502100,4.89398058
1012NL,52.37424447,4.89301942
1012NM,52.37436858,4.89309204
1012NN,52.37418834,4.89313789
1012NP,52.37367349,4.89302923
1012NR,52.37141998,4.89238162
1012NS,52.37047419,4.89219547
1012NT,52.37015127,4.89211058
1012NV,52.36956433,4.89182405
1012NW,52.37219267,4.89239617
1012NX,52.37250618,4.89215387
1012NX,52.37146445,4.89234556
1012NZ,52.37140354,4.89206154
1012PA,52.37016691,4.89155243
1012PB,52.36936531,4.89163669
1012PC,52.37251425,4.89194060
1012PD,52.37210926,4.89194419
1012PE,52.37161552,4.89193272
1012PG,52.37123762,4.89183455
1012PH,52.37073341,4.89161952
1012PJ,52.37036413,4.89143276
1012PK,52.36990043,4.89124253
1012PL,52.37221899,4.89194060
1012PM,52.37071488,4.89148757
1012PN,52.36963469,4.89108851
1012PP,52.36988467,4.89068926
1012PR,52.36925611,4.89082844
1012PS,52.37687921,4.89567782
1012PT,52.37624864,4.89557312
1012PV,52.37637214,4.89515587
1012PW,52.37564808,4.89393898
1012PX,52.37518752,4.89343988
1012PZ,52.37480803,4.89260737
1012RA,52.37598438,4.89874266
1012RB,52.37263939,4.89175975
1012RC,52.37723620,4.89553597
1012RD,52.37680542,4.89504690
1012RE,52.37568196,4.89318757
1012RG,52.37459000,4.89182668
1012RG,52.37455522,4.89210548
1012RH,52.37438250,4.89163749
1012RJ,52.37413042,4.89188037
1012RK,52.37251905,4.89108581
1012RL,52.37184908,4.89193111
1012RM,52.37103664,4.89163300
1012RN,52.37193625,4.89013557
1012RP,52.37047603,4.88968858
1012RR,52.37299532,4.89040360
1012RS,52.37190564,4.89038784
1012RT,52.37123935,4.89010142
1012RV,52.37036579,4.88968538
1012RW,52.36971774,4.88933302
1012RX,52.36921301,4.88914246
1012RZ,52.37739877,4.89508437
1012SB,52.37692831,4.89434061
1012SC,52.37664757,4.89382973
1012SE,52.37626735,4.89317311
1012SG,52.37584836,4.89257583
1012SH,52.37546269,4.89203661
1012SJ,52.37485790,4.89141190
1012SK,52.37676385,4.89376953
1012SL,52.37596137,4.89260440
1012SM,52.37433301,4.89083156
1012SN,52.37791105,4.89572544
1012SP,52.37751554,4.89508437
1012SR,52.37667306,4.89362524
1012ST,52.37591353,4.89238403
1012SV,52.37496532,4.89130790
1012SV,52.37827290,4.89465632
1012SV,52.37495559,4.89113179
1012SW,52.37854877,4.89498349
1012SW,52.37874429,4.89454661
1012SX,52.37818513,4.89398886
1012SZ,52.37815812,4.89451472
1012TA,52.37762730,4.89384820
1012TB,52.37748375,4.89390854
1012TC,52.37697215,4.89300566
1012TD,52.37679508,4.89276564
1012TE,52.37619854,4.89202929
1012TG,52.37512426,4.89067476
1012TH,52.37455498,4.89015337
1012TJ,52.37337518,4.88956371
1012TK,52.37897276,4.89549159
1012TL,52.37888362,4.89731097
1012TM,52.37848254,4.89987760
1012TN,52.37777352,4.89716809
1012TP,52.37812476,4.89676523
1012TR,52.37805115,4.89635483
1012TS,52.37735891,4.89414491
1012TT,52.37656157,4.89284716
1012TV,52.37638179,4.89259909
1012TW,52.37601110,4.89207454
1012TX,52.37559547,4.89155051
1012TZ,52.37527877,4.89109900
1012VA,52.37500804,4.89077876
1012VB,52.37436686,4.89005490
1012VC,52.37831083,4.89404660
1012VD,52.37689333,4.89241715
1012VE,52.37660848,4.89202467
1012VG,52.37616192,4.89160292
1012VH,52.37564731,4.89105063
1012VJ,52.37504251,4.89042593
1012VK,52.37477148,4.89009221
1012VM,52.37214663,4.89009225
1012VN,52.37280178,4.88976085
1012VP,52.37134252,4.88951960
1012VR,52.37062488,4.88942639
1012VS,52.36927518,4.88894967
1012VT,52.37304105,4.88946619
1012VV,52.37098334,4.88895870
1012VV,52.37137410,4.88913111
1012VW,52.37098223,4.88904766
1012VX,52.37020056,4.88886495
1012VZ,52.37027215,4.88880945
1012WB,52.36991272,4.88880945
1012WC,52.36887789,4.88851273
1012WE,52.37269103,4.88907192
1012WG,52.37174638,4.88884971
1012WH,52.37095469,4.88869536
1012WJ,52.37051579,4.88858755
1012WK,52.37013637,4.88880945
1012WL,52.36941136,4.88865982
1012WN,52.36874203,4.88915023
1012WP,52.36817030,4.89249615
1012WR,52.36743624,4.89323165
1012WS,52.36991015,4.89048581
1012WT,52.36981831,4.89000017
1012WV,52.36934426,4.89041632
1012WX,52.36894476,4.89159545
1012WZ,52.36909785,4.89166716
1012XA,52.36895411,4.88953970
1012XB,52.36881721,4.89166914
1012XC,52.36797505,4.89299363
1012XD,52.36946981,4.89103801
1012XE,52.36877154,4.89129375
1012XG,52.36830543,4.89151760
1012XH,52.36791128,4.89209492
1012XJ,52.36741118,4.89280397
1012XK,52.36873387,4.89132412
1012XL,52.36837413,4.89090316
1012XM,52.36862429,4.89051178
1012XN,52.36791128,4.89162168
1012XP,52.36759272,4.89067086
1012XR,52.36801164,4.89142649
1012XS,52.36765390,4.89054744
1012XT,52.36900953,4.89419366
1012XV,52.36769484,4.89260565
1012XW,52.37479055,4.89250016
1012XX,52.36877304,4.89567929
1012XZ,52.37370661,4.89170416
1012ZA,52.36906584,4.89502486
1012ZD,52.36880282,4.89419706
1012ZE,52.36856096,4.89458309
1012ZG,52.36830980,4.89459957
1012ZH,52.37582148,4.89693412
1012ZJ,52.37547186,4.89639806
1012ZK,52.37447397,4.89210669
1012ZL,52.37241773,4.89033785
1012ZX,52.37012978,4.89321988
1013AA,52.38259635,4.89564533
1013AC,52.39828823,4.87711029
1013AD,52.38535317,4.89299843
1013AE,52.38772416,4.89257539
1013AG,52.38121369,4.89346173
1013AJ,52.38862143,4.89219155
1013AK,52.39869508,4.88378524
1013AL,52.39026245,4.89132778
1013AM,52.39737977,4.87791373
1013AP,52.40194999,4.88096211
1013AR,52.40030668,4.87610304
1013AS,52.39086983,4.89113583
1013AV,52.38728253,4.88810018
1013AW,52.39254195,4.89105192
1013AZ,52.38788466,4.89172907
1013AZ,52.38353493,4.89234305
1013BB,52.39626627,4.87433551
1013BB,52.39798374,4.87689190
1013BC,52.39997054,4.87323314
1013BC,52.39641682,4.87543745
1013BD,52.39548850,4.87864662
1013BE,52.39887798,4.87293756
1013BG,52.39644726,4.86940667
